Item,Word,Condition,Frequency,Predictability,Type,Sentences,PhrasalVerb,Filename,FilePath,OnsetTime,OffsetTime,Duration,CorrectAns,List
327,uppers,Experimental,136709,NA,Word-Internal,The doctor prescribed uppers to help improve her energy levels.,NA,all_parts_combined_The_doctor_prescribed_uppers_to_help_improve_her_energy_levels_.wav,Stimuli/all_parts_combined_The_doctor_prescribed_uppers_to_help_improve_her_energy_levels_.wav,1.246,1.363,0.117,y,1
329,setup,Experimental,4162663,NA,Word-Internal,They followed the setup instructions to assemble the new furniture.,NA,all_parts_combined_They_followed_the_setup_instructions_to_assemble_the_new_furniture_.wav,Stimuli/all_parts_combined_They_followed_the_setup_instructions_to_assemble_the_new_furniture_.wav,0.869,0.942,0.073,y,1
331,abruptly,Experimental,4660340,NA,Word-Internal,"Abruptly, the music stopped, leaving the audience in silence.",NA,all_parts_combined_Abruptly__the_music_stopped__leaving_the_audience_in_silence_.wav,Stimuli/all_parts_combined_Abruptly__the_music_stopped__leaving_the_audience_in_silence_.wav,0.4,0.48,0.08,y,1
333,upright,Experimental,4937976,NA,Word-Internal,"She stood upright, with her shoulders back and head held high.",NA,all_parts_combined_She_stood_upright__with_her_shoulders_back_and_head_held_high_.wav,Stimuli/all_parts_combined_She_stood_upright__with_her_shoulders_back_and_head_held_high_.wav,0.58,0.666,0.086,y,1
335,bankruptcy,Experimental,5643945,NA,Word-Internal,The company  filed for bankruptcy due to financial difficulties.,NA,all_parts_combined_The_company__filed_for_bankruptcy_due_to_financial_difficulties_.wav,Stimuli/all_parts_combined_The_company__filed_for_bankruptcy_due_to_financial_difficulties_.wav,1.337,1.416,0.079,y,1
337,supper,Experimental,6667160,NA,Word-Internal,They gathered around the table for a delicious supper with friends and family.,NA,all_parts_combined_They_gathered_around_the_table_for_a_delicious_supper_with_friends_and_family_.wav,Stimuli/all_parts_combined_They_gathered_around_the_table_for_a_delicious_supper_with_friends_and_family_.wav,2.135,2.213,0.078,y,1
339,corruption,Experimental,6668468,NA,Word-Internal,The corruption of power led to widespread mistrust in the government.,NA,all_parts_combined_The_corruption_of_power_led_to_widespread_mistrust_in_the_government_.wav,Stimuli/all_parts_combined_The_corruption_of_power_led_to_widespread_mistrust_in_the_government_.wav,0.324,0.393,0.069,y,1
341,interrupted,Experimental,7184727,NA,Word-Internal,The meeting was interrupted by a sudden phone call.,NA,all_parts_combined_The_meeting_was_interrupted_by_a_sudden_phone_call_.wav,Stimuli/all_parts_combined_The_meeting_was_interrupted_by_a_sudden_phone_call_.wav,1.029,1.111,0.082,y,1
343,upward,Experimental,9005173,NA,Word-Internal,"With hard work and determination, he made an upward climb in his career.",NA,all_parts_combined_With_hard_work_and_determination__he_made_an_upward_climb_in_his_career_.wav,Stimuli/all_parts_combined_With_hard_work_and_determination__he_made_an_upward_climb_in_his_career_.wav,2.137,2.276,0.139,y,1
345,supreme,Experimental,25194402,NA,Word-Internal,The chef prepared a supreme dish that impressed everyone at the table.,NA,all_parts_combined_The_chef_prepared_a_supreme_dish_that_impressed_everyone_at_the_table_.wav,Stimuli/all_parts_combined_The_chef_prepared_a_supreme_dish_that_impressed_everyone_at_the_table_.wav,1.131,1.215,0.084,y,1
347,suppose,Experimental,30695441,NA,Word-Internal,"Suppose we leave early, we should arrive on time.",NA,all_parts_combined_Suppose_we_leave_early__we_should_arrive_on_time_.wav,Stimuli/all_parts_combined_Suppose_we_leave_early__we_should_arrive_on_time_.wav,0.45,0.516,0.066,y,1
349,upper,Experimental,40256450,NA,Word-Internal,The upper management approved the new project proposal.,NA,all_parts_combined_The_upper_management_approved_the_new_project_proposal_.wav,Stimuli/all_parts_combined_The_upper_management_approved_the_new_project_proposal_.wav,0.4,0.483,0.083,y,1
2,picked up,Experimental,10732691,1.551261,Phrasal Verb,He picked up the phone and answered the call.,1,all_parts_combined_He_picked_up_the_phone_and_answered_the_call_.wav,Stimuli/all_parts_combined_He_picked_up_the_phone_and_answered_the_call_.wav,0.358,0.417,0.059,y,2
4,looked up,Experimental,8194289,0.089636,Phrasal Verb,She looked up the definition of the word in the dictionary.,1,all_parts_combined_She_looked_up_the_definition_of_the_word_in_the_dictionary_.wav,Stimuli/all_parts_combined_She_looked_up_the_definition_of_the_word_in_the_dictionary_.wav,0.482,0.55,0.068,y,2
6,come up,Experimental,7257009,0.037765,Phrasal Verb,We need to come up with a plan for the project.,0,all_parts_combined_We_need_to_come_up_with_a_plan_for_the_project_.wav,Stimuli/all_parts_combined_We_need_to_come_up_with_a_plan_for_the_project_.wav,0.703,0.769,0.066,y,2
8,stood up,Experimental,5042824,0.11633,Phrasal Verb,She stood up and applauded at the end of the performance.,0,all_parts_combined_She_stood_up_and_applauded_at_the_end_of_the_performance_.wav,Stimuli/all_parts_combined_She_stood_up_and_applauded_at_the_end_of_the_performance_.wav,0.504,0.579,0.075,y,2
9,take up,Experimental,4490435,0.021047,Phrasal Verb,He decided to take up playing the guitar as a hobby.,1,all_parts_combined_He_decided_to_take_up_playing_the_guitar_as_a_hobby_.wav,Stimuli/all_parts_combined_He_decided_to_take_up_playing_the_guitar_as_a_hobby_.wav,0.912,0.993,0.081,y,2
11,grew up,Experimental,4152205,0.209426,Phrasal Verb,I grew up in a small town in the countryside.,0,all_parts_combined_I_grew_up_in_a_small_town_in_the_countryside_.wav,Stimuli/all_parts_combined_I_grew_up_in_a_small_town_in_the_countryside_.wav,0.514,0.617,0.103,y,2
14,brought up,Experimental,3632915,0.048904,Phrasal Verb,She brought up an interesting topic during the discussion.,1,all_parts_combined_She_brought_up_an_interesting_topic_during_the_discussion_.wav,Stimuli/all_parts_combined_She_brought_up_an_interesting_topic_during_the_discussion_.wav,0.52,0.58,0.06,y,2
16,keep up,Experimental,3068467,0.034165,Phrasal Verb,It's important to keep up with the latest news and updates.,0,all_parts_combined_It_s_important_to_keep_up_with_the_latest_news_and_updates_.wav,Stimuli/all_parts_combined_It_s_important_to_keep_up_with_the_latest_news_and_updates_.wav,0.911,0.999,0.088,y,2
17,held up,Experimental,2877724,0.032882,Phrasal Verb,The traffic held up our arrival to the party.,1,all_parts_combined_The_traffic_held_up_our_arrival_to_the_party_.wav,Stimuli/all_parts_combined_The_traffic_held_up_our_arrival_to_the_party_.wav,0.829,0.902,0.073,y,2
19,wake up,Experimental,2582703,0.345743,Phrasal Verb,I need to wake up early tomorrow for an important meeting.,0,all_parts_combined_I_need_to_wake_up_early_tomorrow_for_an_important_meeting_.wav,Stimuli/all_parts_combined_I_need_to_wake_up_early_tomorrow_for_an_important_meeting_.wav,0.717,0.791,0.074,y,2
21,shut up,Experimental,2320635,0.18841,Phrasal Verb,Please shut up and let me finish my sentence.,1,all_parts_combined_Please_shut_up_and_let_me_finish_my_sentence_.wav,Stimuli/all_parts_combined_Please_shut_up_and_let_me_finish_my_sentence_.wav,0.686,0.778,0.092,y,2
23,sat up,Experimental,2181924,0.051248,Phrasal Verb,He sat up the girl so she'd stop crying.,1,all_parts_combined_He_sat_up_the_girl_so_she_d_stop_crying_.wav,Stimuli/all_parts_combined_He_sat_up_the_girl_so_she_d_stop_crying_.wav,0.532,0.629,0.097,y,2
25,drawn up,Experimental,1919276,0.072789,Phrasal Verb,The contract was drawn up and signed by both parties.,1,all_parts_combined_The_contract_was_drawn_up_and_signed_by_both_parties_.wav,Stimuli/all_parts_combined_The_contract_was_drawn_up_and_signed_by_both_parties_.wav,1.142,1.243,0.101,y,2
27,turned up,Experimental,1850806,0.022561,Phrasal Verb,They turned up the volume to enjoy their favorite song.,1,all_parts_combined_They_turned_up_the_volume_to_enjoy_their_favorite_song_.wav,Stimuli/all_parts_combined_They_turned_up_the_volume_to_enjoy_their_favorite_song_.wav,0.592,0.639,0.047,y,2
30,break up,Experimental,1505712,0.050052,Phrasal Verb,The couple decided to break up after years of being together.,1,all_parts_combined_The_couple_decided_to_break_up_after_years_of_being_together_.wav,Stimuli/all_parts_combined_The_couple_decided_to_break_up_after_years_of_being_together_.wav,1.611,1.686,0.075,y,2
32,tied up,Experimental,1360221,0.121702,Phrasal Verb,She tied up all the loose ends before going for a run.,1,all_parts_combined_She_tied_up_all_the_loose_ends_before_going_for_a_run_.wav,Stimuli/all_parts_combined_She_tied_up_all_the_loose_ends_before_going_for_a_run_.wav,0.494,0.565,0.071,y,2
34,lit up,Experimental,1192866,0.152389,Phrasal Verb,The fireworks lit up the night sky with vibrant colors.,1,all_parts_combined_The_fireworks_lit_up_the_night_sky_with_vibrant_colors_.wav,Stimuli/all_parts_combined_The_fireworks_lit_up_the_night_sky_with_vibrant_colors_.wav,1.073,1.133,0.06,y,2
35,jumped up,Experimental,1136026,0.170611,Phrasal Verb,The dog jumped up and greeted its owner with excitement.,0,all_parts_combined_The_dog_jumped_up_and_greeted_its_owner_with_excitement_.wav,Stimuli/all_parts_combined_The_dog_jumped_up_and_greeted_its_owner_with_excitement_.wav,0.802,0.904,0.102,y,2
38,follow up,Experimental,1074735,0.020775,Phrasal Verb,The army decided to follow up the air assault with a ground invasion.,1,all_parts_combined_The_army_decided_to_follow_up_the_air_assault_with_a_ground_invasion_.wav,Stimuli/all_parts_combined_The_army_decided_to_follow_up_the_air_assault_with_a_ground_invasion_.wav,1.459,1.516,0.057,y,2
39,leading up,Experimental,1055073,0.030805,Phrasal Verb,The events leading up to the accident were unclear.,0,all_parts_combined_The_events_leading_up_to_the_accident_were_unclear_.wav,Stimuli/all_parts_combined_The_events_leading_up_to_the_accident_were_unclear_.wav,0.786,0.871,0.085,y,2
41,wound up,Experimental,1050659,0.09904,Phrasal Verb,They wound up the clock before going to bed.,1,all_parts_combined_They_wound_up_the_clock_before_going_to_bed_.wav,Stimuli/all_parts_combined_They_wound_up_the_clock_before_going_to_bed_.wav,0.572,0.635,0.063,y,2
44,backed up,Experimental,984480,0.174642,Phrasal Verb,The car backed up to make space for the delivery truck.,1,all_parts_combined_The_car_backed_up_to_make_space_for_the_delivery_truck_.wav,Stimuli/all_parts_combined_The_car_backed_up_to_make_space_for_the_delivery_truck_.wav,0.957,1.07,0.113,y,2
45,sprang up,Experimental,938309,0.356795,Phrasal Verb,The flowers sprang up after a heavy rainstorm.,0,all_parts_combined_The_flowers_sprang_up_after_a_heavy_rainstorm_.wav,Stimuli/all_parts_combined_The_flowers_sprang_up_after_a_heavy_rainstorm_.wav,0.817,0.916,0.099,y,2
48,rolled up,Experimental,880327,0.093806,Phrasal Verb,He rolled up his sleeves and started working.,1,all_parts_combined_He_rolled_up_his_sleeves_and_started_working_.wav,Stimuli/all_parts_combined_He_rolled_up_his_sleeves_and_started_working_.wav,0.345,0.423,0.078,y,2
49,glanced up,Experimental,870456,0.103726,Phrasal Verb,I glanced up from my book and saw her entering the room.,0,all_parts_combined_I_glanced_up_from_my_book_and_saw_her_entering_the_room_.wav,Stimuli/all_parts_combined_I_glanced_up_from_my_book_and_saw_her_entering_the_room_.wav,0.653,0.744,0.091,y,2
52,cooped up,Experimental,160018,7.34769,Phrasal Verb,The cat remained cooped up in the house during the storm.,0,all_parts_combined_The_cat_remained_cooped_up_in_the_house_during_the_storm_.wav,Stimuli/all_parts_combined_The_cat_remained_cooped_up_in_the_house_during_the_storm_.wav,1.304,1.404,0.1,y,2
54,sprucing up,Experimental,20428,4.099538,Phrasal Verb,She's sprucing up her apartment before the guests arrive.,1,all_parts_combined_She_s_sprucing_up_her_apartment_before_the_guests_arrive_.wav,Stimuli/all_parts_combined_She_s_sprucing_up_her_apartment_before_the_guests_arrive_.wav,0.736,0.815,0.079,y,2
55,perked up,Experimental,148491,2.877286,Phrasal Verb,"After a nap, she perked up and felt more energetic.",0,all_parts_combined_After_a_nap__she_perked_up_and_felt_more_energetic_.wav,Stimuli/all_parts_combined_After_a_nap__she_perked_up_and_felt_more_energetic_.wav,1.362,1.43,0.068,y,2
58,wised up,Experimental,18504,2.695804,Phrasal Verb,"Finally, he wised up and realized the truth.",0,all_parts_combined_Finally__he_wised_up_and_realized_the_truth_.wav,Stimuli/all_parts_combined_Finally__he_wised_up_and_realized_the_truth_.wav,1.204,1.29,0.086,y,2
59,conjures up,Experimental,208772,2.504643,Phrasal Verb,The magician conjures up a rabbit from his hat.,1,all_parts_combined_The_magician_conjures_up_a_rabbit_from_his_hat_.wav,Stimuli/all_parts_combined_The_magician_conjures_up_a_rabbit_from_his_hat_.wav,1.135,1.198,0.063,y,2
61,messed up,Experimental,347063,1.674465,Phrasal Verb,He messed up the recipe by adding too much salt.,1,all_parts_combined_He_messed_up_the_recipe_by_adding_too_much_salt_.wav,Stimuli/all_parts_combined_He_messed_up_the_recipe_by_adding_too_much_salt_.wav,0.439,0.488,0.049,y,2
63,holed up,Experimental,183493,1.279919,Phrasal Verb,The fugitive holed up in a remote cabin to avoid capture.,0,all_parts_combined_The_fugitive_holed_up_in_a_remote_cabin_to_avoid_capture_.wav,Stimuli/all_parts_combined_The_fugitive_holed_up_in_a_remote_cabin_to_avoid_capture_.wav,1.056,1.164,0.108,y,2
66,teamed up,Experimental,189387,1.085549,Phrasal Verb,They teamed up to solve the challenging puzzle.,0,all_parts_combined_They_teamed_up_to_solve_the_challenging_puzzle_.wav,Stimuli/all_parts_combined_They_teamed_up_to_solve_the_challenging_puzzle_.wav,0.605,0.702,0.097,y,2
67,gobbled up,Experimental,96175,0.995982,Phrasal Verb,The kids gobbled up all the cookies in minutes.,1,all_parts_combined_The_kids_gobbled_up_all_the_cookies_in_minutes_.wav,Stimuli/all_parts_combined_The_kids_gobbled_up_all_the_cookies_in_minutes_.wav,0.815,0.885,0.07,y,2
69,revved up,Experimental,54866,0.765494,Phrasal Verb,The engine revved up as the race was about to start.,1,all_parts_combined_The_engine_revved_up_as_the_race_was_about_to_start_.wav,Stimuli/all_parts_combined_The_engine_revved_up_as_the_race_was_about_to_start_.wav,0.731,0.819,0.088,y,2
71,piling up,Experimental,317987,0.64034,Phrasal Verb,"The papers were piling up on his desk, creating a mess.",1,all_parts_combined_The_papers_were_piling_up_on_his_desk__creating_a_mess_.wav,Stimuli/all_parts_combined_The_papers_were_piling_up_on_his_desk__creating_a_mess_.wav,1.121,1.227,0.106,y,2
73,screwed up,Experimental,441784,0.548675,Phrasal Verb,He screwed up the interview by making multiple mistakes.,1,all_parts_combined_He_screwed_up_the_interview_by_making_multiple_mistakes_.wav,Stimuli/all_parts_combined_He_screwed_up_the_interview_by_making_multiple_mistakes_.wav,0.491,0.55,0.059,y,2
75,scooped up,Experimental,275694,0.501171,Phrasal Verb,He scooped up a handful of sand and threw it into the water.,1,all_parts_combined_He_scooped_up_a_handful_of_sand_and_threw_it_into_the_water_.wav,Stimuli/all_parts_combined_He_scooped_up_a_handful_of_sand_and_threw_it_into_the_water_.wav,0.686,0.761,0.075,y,2
77,propped up,Experimental,421986,0.462058,Phrasal Verb,"The pillows propped up her back, providing comfort.",1,all_parts_combined_The_pillows_propped_up_her_back__providing_comfort_.wav,Stimuli/all_parts_combined_The_pillows_propped_up_her_back__providing_comfort_.wav,0.931,1.007,0.076,y,2
80,bricked up,Experimental,20389,0.389021,Phrasal Verb,"They bricked up the entrance, preventing anyone from entering.",1,all_parts_combined_They_bricked_up_the_entrance__preventing_anyone_from_entering_.wav,Stimuli/all_parts_combined_They_bricked_up_the_entrance__preventing_anyone_from_entering_.wav,0.605,0.653,0.048,y,2
82,trussed up,Experimental,40346,0.374072838,Phrasal Verb,The injured athlete was trussed up with bandages and taken to the hospital.,0,all_parts_combined_The_injured_athlete_was_trussed_up_with_bandages_and_taken_to_the_hospital_.wav,Stimuli/all_parts_combined_The_injured_athlete_was_trussed_up_with_bandages_and_taken_to_the_hospital_.wav,1.48,1.546,0.066,y,2
84,fucked up,Experimental,210205,0.346808841,Phrasal Verb,"During the bar fight, one man fucked up his arm.",1,all_parts_combined_During_the_bar_fight__one_man_fucked_up_his_arm_.wav,Stimuli/all_parts_combined_During_the_bar_fight__one_man_fucked_up_his_arm_.wav,1.85,1.911,0.061,y,2
85,firmed up,Experimental,25633,0.34462221,Phrasal Verb,The company has not yet firmed up its plans for expansion.,0,all_parts_combined_The_company_has_not_yet_firmed_up_its_plans_for_expansion_.wav,Stimuli/all_parts_combined_The_company_has_not_yet_firmed_up_its_plans_for_expansion_.wav,1.304,1.383,0.079,y,2
88,buoyed up,Experimental,73066,0.315911901,Phrasal Verb,Their spirits were buoyed up by the success of their previous project.,0,all_parts_combined_Their_spirits_were_buoyed_up_for_the_upcoming_challenge_by_the_success_of_their_previous_project_.wav,Stimuli/all_parts_combined_Their_spirits_were_buoyed_up_for_the_upcoming_challenge_by_the_success_of_their_previous_project_.wav,1.159,1.246,0.087,y,2
90,balled up,Experimental,59690,0.294676665,Phrasal Verb,He balled up his fists and shook them.,1,all_parts_combined_He_balled_up_his_fists_and_shook_them_.wav,Stimuli/all_parts_combined_He_balled_up_his_fists_and_shook_them_.wav,0.484,0.571,0.087,y,2
92,dammed up,Experimental,45851,0.279141833,Phrasal Verb,The river overflowed onto the streets as debris dammed up the flow.,0,all_parts_combined_The_river_overflowed_onto_the_streets_as_debris_dammed_up_the_flow_.wav,Stimuli/all_parts_combined_The_river_overflowed_onto_the_streets_as_debris_dammed_up_the_flow_.wav,2.849,2.928,0.079,y,2
93,toughen up,Experimental,20161,0.274882744,Phrasal Verb,"If he wants to survive in such a competitive environment, he needs to toughen up.",1,all_parts_combined_If_he_wants_to_survive_in_such_a_competitive_environment__he_needs_to_toughen_up_.wav,Stimuli/all_parts_combined_If_he_wants_to_survive_in_such_a_competitive_environment__he_needs_to_toughen_up_.wav,3.318,3.433,0.115,y,2
96,wadded up,Experimental,31159,0.268184361,Phrasal Verb,She tossed the wadded up piece of paper into the bin.,1,all_parts_combined_She_tossed_the_wadded_up_piece_of_paper_into_the_bin_.wav,Stimuli/all_parts_combined_She_tossed_the_wadded_up_piece_of_paper_into_the_bin_.wav,1.038,1.115,0.077,y,2
98,piped up,Experimental,125607,0.257153737,Phrasal Verb,"During the brainstorming session, she piped up with an idea.",0,all_parts_combined_During_the_brainstorming_session__she_piped_up_with_an_idea_.wav,Stimuli/all_parts_combined_During_the_brainstorming_session__she_piped_up_with_an_idea_.wav,2.022,2.111,0.089,y,2
100,soaks up,Experimental,30500,0.233212522,Phrasal Verb,The sponge soaks up the spilled liquid from the countertop.,1,all_parts_combined_The_sponge_soaks_up_the_spilled_liquid_from_the_countertop_.wav,Stimuli/all_parts_combined_The_sponge_soaks_up_the_spilled_liquid_from_the_countertop_.wav,0.982,1.07,0.088,y,2
101,act up,Experimental,82163,7.49E-04,Phrasal Verb,"The computer started to act up again, freezing unexpectedly.",0,all_parts_combined_The_computer_started_to_act_up_again__freezing_unexpectedly_.wav,Stimuli/all_parts_combined_The_computer_started_to_act_up_again__freezing_unexpectedly_.wav,1.247,1.323,0.076,y,2
103,offering up,Experimental,88847,5.87E-03,Phrasal Verb,She is offering up her services to assist with the project.,1,all_parts_combined_She_is_offering_up_her_services_to_assist_with_the_project_.wav,Stimuli/all_parts_combined_She_is_offering_up_her_services_to_assist_with_the_project_.wav,0.876,0.971,0.095,y,2
105,fired up,Experimental,200671,0.02077799,Phrasal Verb,They fired up the grill to prepare a delicious barbecue.,1,all_parts_combined_They_fired_up_the_grill_to_prepare_a_delicious_barbecue_.wav,Stimuli/all_parts_combined_They_fired_up_the_grill_to_prepare_a_delicious_barbecue_.wav,0.612,0.666,0.054,y,2
107,keyed up,Experimental,80850,0.10573783,Phrasal Verb,He is keyed up and ready for the challenging task ahead.,0,all_parts_combined_He_is_keyed_up_and_ready_for_the_challenging_task_ahead_.wav,Stimuli/all_parts_combined_He_is_keyed_up_and_ready_for_the_challenging_task_ahead_.wav,0.711,0.834,0.123,y,2
109,climbed up,Experimental,726088,1.20E-01,Phrasal Verb,He climbed up the ladder to reach the top shelf.,0,all_parts_combined_He_climbed_up_the_ladder_to_reach_the_top_shelf_.wav,Stimuli/all_parts_combined_He_climbed_up_the_ladder_to_reach_the_top_shelf_.wav,0.781,0.87,0.089,y,2
111,spoken up,Experimental,37957,0.002548978,Phrasal Verb,"Having spoken up, she was satisfied that she expressed her concerns.",0,all_parts_combined_Having_spoken_up__she_was_satisfied_that_she_expressed_her_concerns_.wav,Stimuli/all_parts_combined_Having_spoken_up__she_was_satisfied_that_she_expressed_her_concerns_.wav,0.744,0.869,0.125,y,2
114,washed up,Experimental,265124,0.037058615,Phrasal Verb,"After he washed up, I got ready for bed.",0,all_parts_combined_After_he_washed_up__I_got_ready_for_bed_.wav,Stimuli/all_parts_combined_After_he_washed_up__I_got_ready_for_bed_.wav,0.962,1.054,0.092,y,2
116,scraping up,Experimental,24783,2.25E-02,Phrasal Verb,She was scraping up the remnants of the spilled sauce.,1,all_parts_combined_She_was_scraping_up_the_remnants_of_the_spilled_sauce_.wav,Stimuli/all_parts_combined_She_was_scraping_up_the_remnants_of_the_spilled_sauce_.wav,0.806,0.938,0.132,y,2
118,finishing up,Experimental,155576,4.13E-02,Phrasal Verb,"They complete the last tasks of the project, finishing up.",1,all_parts_combined_They_complete_the_last_tasks_of_the_project__finishing_up_.wav,Stimuli/all_parts_combined_They_complete_the_last_tasks_of_the_project__finishing_up_.wav,2.732,2.829,0.097,y,2
120,clears up,Experimental,64469,0.082156465,Phrasal Verb,"Just in time for the outdoor event, the weather clears up.",0,all_parts_combined_Just_in_time_for_the_outdoor_event__the_weather_clears_up_.wav,Stimuli/all_parts_combined_Just_in_time_for_the_outdoor_event__the_weather_clears_up_.wav,2.43,2.528,0.098,y,2
122,packing up,Experimental,147524,3.71E-02,Phrasal Verb,"We're moving to a new house, so we're packing up our belongings.",1,all_parts_combined_We_re_moving_to_a_new_house__so_we_re_packing_up_our_belongings_.wav,Stimuli/all_parts_combined_We_re_moving_to_a_new_house__so_we_re_packing_up_our_belongings_.wav,0.663,0.722,0.059,y,2
123,reached up,Experimental,678549,0.014544703,Phrasal Verb,He reached up to grab the book from the top shelf.,0,all_parts_combined_He_reached_up_to_grab_the_book_from_the_top_shelf_.wav,Stimuli/all_parts_combined_He_reached_up_to_grab_the_book_from_the_top_shelf_.wav,0.427,0.517,0.09,y,2
125,churning up,Experimental,27127,0.038342646,Phrasal Verb,Running into his old girlfriend was responsible for churning up a lot of buried feelings.,0,all_parts_combined_Running_into_his_old_girlfriend_was_responsible_for_churning_up_a_lot_of_buried_feelings_.wav,Stimuli/all_parts_combined_Running_into_his_old_girlfriend_was_responsible_for_churning_up_a_lot_of_buried_feelings_.wav,2.615,2.71,0.095,y,2
127,rising up,Experimental,391818,0.022696657,Phrasal Verb,The crowd was intent on rising up against the oppressive regime.,0,all_parts_combined_The_crowd_was_intent_on_rising_up_against_the_oppressive_regime_.wav,Stimuli/all_parts_combined_The_crowd_was_intent_on_rising_up_against_the_oppressive_regime_.wav,1.573,1.656,0.083,y,2
129,measured up,Experimental,68810,0.002812314,Phrasal Verb,She measured up to the high expectations of her mentors.,0,all_parts_combined_She_measured_up_to_the_high_expectations_of_her_mentors_.wav,Stimuli/all_parts_combined_She_measured_up_to_the_high_expectations_of_her_mentors_.wav,0.566,0.661,0.095,y,2
132,mixed up,Experimental,598207,2.94E-02,Phrasal Verb,I missed the important appointment because I mixed up the dates.,1,all_parts_combined_I_missed_the_important_appointment_because_I_mixed_up_the_dates_.wav,Stimuli/all_parts_combined_I_missed_the_important_appointment_because_I_mixed_up_the_dates_.wav,2.026,2.099,0.073,y,2
133,strolling up,Experimental,20981,0.025515205,Phrasal Verb,They enjoyed the ocean breeze while strolling up and down the promenade.,0,all_parts_combined_They_enjoyed_the_ocean_breeze_while_strolling_up_and_down_the_promenade_.wav,Stimuli/all_parts_combined_They_enjoyed_the_ocean_breeze_while_strolling_up_and_down_the_promenade_.wav,1.902,2.006,0.104,y,2
135,heaved up,Experimental,40456,0.04485721,Phrasal Verb,He heaved up a heavy box onto the shelf.,1,all_parts_combined_He_heaved_up_a_heavy_box_onto_the_shelf_.wav,Stimuli/all_parts_combined_He_heaved_up_a_heavy_box_onto_the_shelf_.wav,0.644,0.779,0.135,y,2
137,lightened up,Experimental,18618,0.039355698,Phrasal Verb,They lightened up the mood after the tense argument.,0,all_parts_combined_They_lightened_up_the_mood_after_the_tense_argument_.wav,Stimuli/all_parts_combined_They_lightened_up_the_mood_after_the_tense_argument_.wav,0.7,0.759,0.059,y,2
138,glided up,Experimental,22506,0.032358802,Phrasal Verb,The bird glided up into the sky.,1,all_parts_combined_The_bird_glided_up_into_the_sky_.wav,Stimuli/all_parts_combined_The_bird_glided_up_into_the_sky_.wav,0.985,1.069,0.084,y,2
139,bumping up,Experimental,20899,0.036065031,Phrasal Verb,The price of goods keeps bumping up.,1,all_parts_combined_The_price_of_goods_keeps_bumping_up_.wav,Stimuli/all_parts_combined_The_price_of_goods_keeps_bumping_up_.wav,1.766,1.935,0.169,y,2
141,laying up,Experimental,64198,0.012441661,Phrasal Verb,He is laying up in bed due to illness.,0,all_parts_combined_He_is_laying_up_in_bed_due_to_illness_.wav,Stimuli/all_parts_combined_He_is_laying_up_in_bed_due_to_illness_.wav,0.592,0.673,0.081,y,2
144,dried up,Experimental,549750,0.062337565,Phrasal Verb,The clothes dried up in the sun.,0,all_parts_combined_The_clothes_dried_up_in_the_sun_.wav,Stimuli/all_parts_combined_The_clothes_dried_up_in_the_sun_.wav,1.254,1.341,0.087,y,2
146,blows up,Experimental,85761,0.024490072,Phrasal Verb,The balloon blew up with a loud pop.,1,all_parts_combined_The_balloon_blew_up_with_a_loud_pop_.wav,Stimuli/all_parts_combined_The_balloon_blew_up_with_a_loud_pop_.wav,0.936,1.039,0.103,y,2
148,dig up,Experimental,318001,0.080375519,Phrasal Verb,They dug up buried treasure in the backyard.,1,all_parts_combined_They_dug_up_buried_treasure_in_the_backyard_.wav,Stimuli/all_parts_combined_They_dug_up_buried_treasure_in_the_backyard_.wav,0.458,0.54,0.082,y,2
150,flew up,Experimental,252397,0.035775706,Phrasal Verb,The bird flew up to its nest in the tree.,0,all_parts_combined_The_bird_flew_up_to_its_nest_in_the_tree_.wav,Stimuli/all_parts_combined_The_bird_flew_up_to_its_nest_in_the_tree_.wav,0.824,0.887,0.063,y,2
152,typed up,Experimental,45729,0.019066898,Phrasal Verb,She typed up the report on her computer.,1,all_parts_combined_She_typed_up_the_report_on_her_computer_.wav,Stimuli/all_parts_combined_She_typed_up_the_report_on_her_computer_.wav,0.708,0.786,0.078,y,2
154,rip up,Experimental,35835,0.01713398,Phrasal Verb,He angrily ripped up the letter.,1,all_parts_combined_He_angrily_ripped_up_the_letter_.wav,Stimuli/all_parts_combined_He_angrily_ripped_up_the_letter_.wav,1.038,1.106,0.068,y,2
156,felt up,Experimental,27264,2.97E-04,Phrasal Verb,He felt up the fabric to check its texture.,1,all_parts_combined_He_felt_up_the_fabric_to_check_its_texture_.wav,Stimuli/all_parts_combined_He_felt_up_the_fabric_to_check_its_texture_.wav,0.551,0.613,0.062,y,2
158,bid up,Experimental,64448,0.009605714,Phrasal Verb,Investors often bid up shares of companies beyond reason.,0,all_parts_combined_Investors_often_bid_up_shares_of_companies_beyond_reason_.wav,Stimuli/all_parts_combined_Investors_often_bid_up_shares_of_companies_beyond_reason_.wav,1.199,1.287,0.088,y,2
160,carry up,Experimental,67433,2.07E-03,Phrasal Verb,She wanted to carry up the heavy boxes to the attic.,0,all_parts_combined_She_wanted_to_carry_up_the_heavy_boxes_to_the_attic_.wav,Stimuli/all_parts_combined_She_wanted_to_carry_up_the_heavy_boxes_to_the_attic_.wav,0.814,0.896,0.082,y,2
